Full term,Abbreviations,,Synonyms,,,,
Full thread,FT,,Term 1,T2,T3,T4,Notes
Partial thread,PT,,interference screw,tenodesis screw,teno screw,,
Fracture,fx,,guidepin,guidewire,wire,pin,
Tibia,tib,,tray,system,set,,NOTE- caddy is NOT a synonym here
Fibula,fib,,calcaneus,calc,heel bone,,
Quick connect,QC,,hallux,first met,first metatarsal,M1,
MIS,minimally invasive surgery,,second met,second metatarsal,,M2,
non-locking,NL,,third met,third metatarsal,,M3,
headed,HD,,fourth met,fourth metatarsal,,M4,
headless,HL,,fifth met,firth metatarsal,pinky toe,M5,
flexor hallucis longus,FHL,,midsubstance repair,achilles rupture repair,,,
flexor digitorum longus,FDL,,insertional repair,haglunds repair,,,
,,,legs,tines,,,
