System	Item Type	Item No.	Description	Qty per Set	Head Style	Construct	Thread	Color	Guidewire	Pre-Drill Diameter	Driver	2.0mm Polyaxial Locking (MMSL20xx)	2.0mm Non-Locking (MMSN20xx)	2.0mm Locking Pegs (MPSP20xx)	2.4mm Polyaxial Locking (MMSL24xx)	2.4mm Non-Locking (MMSN24xx)	2.7mm Polyaxial Locking (T8) (MMSL27xx)	2.7mm Non-Locking (T8) (MMSN27xx)	2.7mm Polyaxial Locking (MPSL27xx)	2.7mm Non-Locking (MPSN27xx)	3.5mm Polyaxial Locking (MPSL35xx)	3.5mm Non-Locking (MPSN35xx)	3.5mm Cross-Plate  (MPSX35xx)	4.0mm Polyaxial Locking (MPSL40xx)	4.0mm Non-Locking (MPSN40xx)	"4.0mm Cancellous, Non-Locking (MPSC40xx)"	4.5mm Polyaxial Locking (MPSL45xx)	4.5mm Non-Locking (MPSN45xx)	5.5mm Polyaxial Locking (MPSL55xx)	5.5mm Non-Locking (MPSN55xx)	4.0mm Cann. Headed Screw (MSD140xx)	SYNDEX
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA100L	"PLATE, LATERAL FIBULA, XSML, LEFT"	1															X	X	X	X		X	X	X						X
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA101L	"PLATE, LATERAL FIBULA, SML, LEFT"	1															X	X	X	X		X	X	X						X
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA102L	"PLATE, LATERAL FIBULA, MED, LEFT"	1															X	X	X	X		X	X	X						X
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA103L	"PLATE, LATERAL FIBULA, LRG, LEFT"	1															X	X	X	X		X	X	X						X
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA100R	"PLATE, LATERAL FIBULA, XSML, RIGHT"	1															X	X	X	X		X	X	X						X
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA101R	"PLATE, LATERAL FIBULA, SML, RIGHT"	1															X	X	X	X		X	X	X						X
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA102R	"PLATE, LATERAL FIBULA, MED, RIGHT"	1															X	X	X	X		X	X	X						X
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA103R	"PLATE, LATERAL FIBULA, LRG, RIGHT"	1															X	X	X	X		X	X	X						X
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA100U	"PLATE, LATERAL FLEX FIBULA, XSML"	2															X	X	X	X		X	X	X						X
UNITE® Foot & Ankle | Ankle Fracture Plating System (V3)	Implant	MPPA101U	"PLATE, LATERAL FLEX FIBULA, SML"	2															X	X	X	X		X	X	X						X
